"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","3/7","79/18800",2.46945816214362e-06,0.000155575864215048,3.45571235073968e-05,"EP300/MDM2/TP53",3
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","4/7","323/18800",2.87400333017718e-06,0.000155806516940054,3.46083569988228e-05,"EP300/MDM2/PTEN/TP53",4
"GO:0104004","GO:0104004","cellular response to environmental stimulus","4/7","323/18800",2.87400333017718e-06,0.000155806516940054,3.46083569988228e-05,"EP300/MDM2/PTEN/TP53",4
"GO:0070482","GO:0070482","response to oxygen levels","4/7","324/18800",2.90955213706917e-06,0.000155806516940054,3.46083569988228e-05,"EP300/MDM2/PTEN/TP53",4
"GO:2000134","GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","3/7","86/18800",3.19226884121178e-06,0.000162805710901801,3.61630455194918e-05,"MDM2/PTEN/TP53",3
"GO:0106027","GO:0106027","neuron projection organization","3/7","89/18800",3.54067620377384e-06,0.000172366555192808,3.82867378972674e-05,"GSK3B/PTEN/UBE3A",3
"GO:1902807","GO:1902807","negative regulation of cell cycle G1/S phase transition","3/7","97/18800",4.59097275370508e-06,0.000213779644313832,4.74855763083455e-05,"MDM2/PTEN/TP53",3
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","4/7","370/18800",4.93030916555631e-06,0.000220015046512951,4.88706083954266e-05,"GSK3B/MDM2/PTEN/TP53",4
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","3/7","103/18800",5.50148225207184e-06,0.000235683499678758,5.23509469039257e-05,"EP300/MDM2/TP53",3
"GO:2000060","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","3/7","108/18800",6.34580349312195e-06,0.000258799484604577,5.74855604900824e-05,"GSK3B/MDM2/PTEN",3
"GO:0009408","GO:0009408","response to heat","3/7","109/18800",6.52435675473723e-06,0.000258799484604577,5.74855604900824e-05,"EP300/GSK3B/HSP90AA1",3
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","4/7","401/18800",6.78340026918276e-06,0.000259465060296241,5.76334007832821e-05,"EP300/GSK3B/HSP90AA1/TP53",4
"GO:0006983","GO:0006983","ER overload response","2/7","12/18800",7.82943443266904e-06,0.000270226763591642,6.00238326912489e-05,"GSK3B/TP53",2
"GO:0060736","GO:0060736","prostate gland growth","2/7","12/18800",7.82943443266904e-06,0.000270226763591642,6.00238326912489e-05,"PTEN/UBE3A",2
"GO:0007006","GO:0007006","mitochondrial membrane organization","3/7","117/18800",8.07400227351312e-06,0.000270226763591642,6.00238326912489e-05,"GSK3B/HSP90AA1/TP53",3
"GO:0042752","GO:0042752","regulation of circadian rhythm","3/7","117/18800",8.07400227351312e-06,0.000270226763591642,6.00238326912489e-05,"GSK3B/TP53/UBE3A",3
"GO:0010975","GO:0010975","regulation of neuron projection development","4/7","431/18800",9.02699266561104e-06,0.000287145127797849,6.3781806361309e-05,"EP300/GSK3B/PTEN/UBE3A",4
"GO:0061000","GO:0061000","negative regulation of dendritic spine development","2/7","13/18800",9.25132690343512e-06,0.000287145127797849,6.3781806361309e-05,"PTEN/UBE3A",2
"GO:0010906","GO:0010906","regulation of glucose metabolic process","3/7","123/18800",9.38382770581205e-06,0.000287145127797849,6.3781806361309e-05,"EP300/GSK3B/TP53",3
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","4/7","449/18800",1.0613230371237e-05,0.000312364399612991,6.93836103125813e-05,"GSK3B/HSP90AA1/MDM2/PTEN",4
"GO:0071236","GO:0071236","cellular response to antibiotic","2/7","14/18800",1.07913004534833e-05,0.000312364399612991,6.93836103125813e-05,"MDM2/TP53",2
"GO:0043467","GO:0043467","regulation of generation of precursor metabolites and energy","3/7","134/18800",1.21365297897036e-05,0.000333287779609553,7.40311938589207e-05,"EP300/GSK3B/TP53",3
"GO:1903052","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","3/7","134/18800",1.21365297897036e-05,0.000333287779609553,7.40311938589207e-05,"GSK3B/MDM2/PTEN",3
"GO:0048813","GO:0048813","dendrite morphogenesis","3/7","139/18800",1.35466072623125e-05,0.000362710409448416,8.05666642442794e-05,"GSK3B/PTEN/UBE3A",3
"GO:0071456","GO:0071456","cellular response to hypoxia","3/7","143/18800",1.47496286157636e-05,0.000385289079206897,8.55819272698989e-05,"MDM2/PTEN/TP53",3
"GO:1900034","GO:1900034","regulation of cellular response to heat","2/7","17/18800",1.61190779123949e-05,0.000407232417510446,9.04560679712624e-05,"EP300/GSK3B",2
"GO:0010821","GO:0010821","regulation of mitochondrion organization","3/7","148/18800",1.63501344098499e-05,0.000407232417510446,9.04560679712624e-05,"EP300/GSK3B/TP53",3
"GO:0010675","GO:0010675","regulation of cellular carbohydrate metabolic process","3/7","150/18800",1.70211688842688e-05,0.000413249107940268,9.17925189390149e-05,"EP300/GSK3B/TP53",3
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","3/7","151/18800",1.73634078966499e-05,0.000413249107940268,9.17925189390149e-05,"MDM2/PTEN/TP53",3
"GO:0006977","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","2/7","18/18800",1.81307462132679e-05,0.000422131069443695,9.37654151990516e-05,"MDM2/TP53",2
"GO:2000045","GO:2000045","regulation of G1/S transition of mitotic cell cycle","3/7","160/18800",2.06503673472192e-05,0.000470564753805782,0.000104523695867224,"MDM2/PTEN/TP53",3
"GO:0071453","GO:0071453","cellular response to oxygen levels","3/7","166/18800",2.30553346884444e-05,0.000514422155235916,0.000114265474552378,"MDM2/PTEN/TP53",3
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","3/7","170/18800",2.47572112685344e-05,0.000541121903440823,0.000120196127748416,"EP300/MDM2/TP53",3
"GO:0009266","GO:0009266","response to temperature stimulus","3/7","180/18800",2.93700954683593e-05,0.000611994390470849,0.000135938603613359,"EP300/GSK3B/HSP90AA1",3
"GO:0010721","GO:0010721","negative regulation of cell development","3/7","181/18800",2.9860303597989e-05,0.000611994390470849,0.000135938603613359,"GSK3B/PTEN/TP53",3
"GO:0006839","GO:0006839","mitochondrial transport","3/7","182/18800",3.03558824232125e-05,0.000611994390470849,0.000135938603613359,"GSK3B/HSP90AA1/TP53",3
"GO:0006109","GO:0006109","regulation of carbohydrate metabolic process","3/7","183/18800",3.08568600237403e-05,0.000611994390470849,0.000135938603613359,"EP300/GSK3B/TP53",3
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","3/7","183/18800",3.08568600237403e-05,0.000611994390470849,0.000135938603613359,"MDM2/PTEN/TP53",3
"GO:1901522","GO:1901522","positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus","2/7","24/18800",3.26716503880459e-05,0.000628389729869412,0.000139580400953842,"EP300/TP53",2
"GO:0071478","GO:0071478","cellular response to radiation","3/7","187/18800",3.29153191069054e-05,0.000628389729869412,0.000139580400953842,"EP300/MDM2/TP53",3
"GO:1902806","GO:1902806","regulation of cell cycle G1/S phase transition","3/7","188/18800",3.34437111134981e-05,0.000628389729869412,0.000139580400953842,"MDM2/PTEN/TP53",3
"GO:0031334","GO:0031334","positive regulation of protein-containing complex assembly","3/7","194/18800",3.6731944552158e-05,0.000678274355437262,0.000150660970395421,"GSK3B/HSP90AA1/TP53",3
"GO:0006006","GO:0006006","glucose metabolic process","3/7","201/18800",4.08295444637696e-05,0.000741160035944021,0.000164629385349009,"EP300/GSK3B/TP53",3
"GO:0031571","GO:0031571","mitotic G1 DNA damage checkpoint signaling","2/7","29/18800",4.80178569017453e-05,0.000852149338009652,0.000189282766121364,"MDM2/TP53",2
"GO:0031396","GO:0031396","regulation of protein ubiquitination","3/7","213/18800",4.85351163572258e-05,0.000852149338009652,0.000189282766121364,"HSP90AA1/PTEN/UBE3A",3
"GO:0044819","GO:0044819","mitotic G1/S transition checkpoint signaling","2/7","30/18800",5.14385765582362e-05,0.000874455801490015,0.000194237565616731,"MDM2/TP53",2
"GO:0071480","GO:0071480","cellular response to gamma radiation","2/7","30/18800",5.14385765582362e-05,0.000874455801490015,0.000194237565616731,"MDM2/TP53",2
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","3/7","225/18800",5.71420720490072e-05,0.000956236861945105,0.000212403096761112,"MDM2/PTEN/TP53",3
"GO:1902253","GO:1902253","regulation of intrinsic apoptotic signaling pathway by p53 class mediator","2/7","32/18800",5.86309928627712e-05,0.000966058359323507,0.000214584686428928,"MDM2/TP53",2
"GO:0016358","GO:0016358","dendrite development","3/7","231/18800",6.17983639219883e-05,0.00100281890546136,0.000222750083674153,"GSK3B/PTEN/UBE3A",3
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","3/7","234/18800",6.42172878535902e-05,0.00102651813867455,0.000228014250666322,"MDM2/PTEN/TP53",3
"GO:0021955","GO:0021955","central nervous system neuron axonogenesis","2/7","35/18800",7.02961205717857e-05,0.00110158371594779,0.000244688112245517,"HSP90AA1/PTEN",2
"GO:0019318","GO:0019318","hexose metabolic process","3/7","242/18800",7.09703794588213e-05,0.00110158371594779,0.000244688112245517,"EP300/GSK3B/TP53",3
"GO:0043516","GO:0043516","regulation of DNA damage response, signal transduction by p53 class mediator","2/7","36/18800",7.4417980355278e-05,0.00112402560312663,0.000249672992585993,"MDM2/TP53",2
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","3/7","246/18800",7.45152360616159e-05,0.00112402560312663,0.000249672992585993,"HSP90AA1/PTEN/UBE3A",3
"GO:0044843","GO:0044843","cell cycle G1/S phase transition","3/7","255/18800",8.29124353713863e-05,0.00121642764770897,0.000270197698542658,"MDM2/PTEN/TP53",3
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","3/7","255/18800",8.29124353713863e-05,0.00121642764770897,0.000270197698542658,"MDM2/PTEN/TP53",3
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","3/7","257/18800",8.48591666410099e-05,0.00122816442530435,0.000272804717793289,"EP300/GSK3B/TP53",3
"GO:0005996","GO:0005996","monosaccharide metabolic process","3/7","261/18800",8.88422534355568e-05,0.00126866737905975,0.000281801393353485,"EP300/GSK3B/TP53",3
"GO:0007611","GO:0007611","learning or memory","3/7","264/18800",9.19088282225646e-05,0.00129518888192588,0.000287692453993069,"EP300/PTEN/UBE3A",3
"GO:0051348","GO:0051348","negative regulation of transferase activity","3/7","270/18800",9.8248894602211e-05,0.00136655280673984,0.000303544089953516,"GSK3B/PTEN/TP53",3
"GO:0042771","GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","2/7","43/18800",0.000106533354969638,0.00144426864775294,0.000320806638549476,"EP300/TP53",2
"GO:0048512","GO:0048512","circadian behavior","2/7","43/18800",0.000106533354969638,0.00144426864775294,0.000320806638549476,"PTEN/TP53",2
"GO:0061001","GO:0061001","regulation of dendritic spine morphogenesis","2/7","44/18800",0.00011158656704658,0.00149386516633608,0.00033182321253325,"PTEN/UBE3A",2
"GO:0006984","GO:0006984","ER-nucleus signaling pathway","2/7","45/18800",0.000116755917263575,0.00150657334203962,0.000334646002556346,"GSK3B/TP53",2
"GO:0007622","GO:0007622","rhythmic behavior","2/7","45/18800",0.000116755917263575,0.00150657334203962,0.000334646002556346,"PTEN/TP53",2
"GO:0010677","GO:0010677","negative regulation of cellular carbohydrate metabolic process","2/7","45/18800",0.000116755917263575,0.00150657334203962,0.000334646002556346,"EP300/GSK3B",2
"GO:0030521","GO:0030521","androgen receptor signaling pathway","2/7","46/18800",0.00012204134326584,0.00153732179366551,0.00034147596969719,"EP300/UBE3A",2
"GO:0035794","GO:0035794","positive regulation of mitochondrial membrane permeability","2/7","46/18800",0.00012204134326584,0.00153732179366551,0.00034147596969719,"GSK3B/TP53",2
"GO:0034504","GO:0034504","protein localization to nucleus","3/7","294/18800",0.000126472505215361,0.00153732179366551,0.00034147596969719,"GSK3B/MDM2/TP53",3
"GO:0031648","GO:0031648","protein destabilization","2/7","47/18800",0.000127442782718589,0.00153732179366551,0.00034147596969719,"EP300/MDM2",2
"GO:0051972","GO:0051972","regulation of telomerase activity","2/7","47/18800",0.000127442782718589,0.00153732179366551,0.00034147596969719,"HSP90AA1/TP53",2
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","3/7","295/18800",0.000127751297512821,0.00153732179366551,0.00034147596969719,"EP300/MDM2/TP53",3
"GO:1902108","GO:1902108","regulation of mitochondrial membrane permeability involved in apoptotic process","2/7","48/18800",0.000132960173307023,0.00157858907095263,0.000350642419809616,"GSK3B/TP53",2
"GO:0010948","GO:0010948","negative regulation of cell cycle process","3/7","301/18800",0.000135602422528144,0.00157858907095263,0.000350642419809616,"MDM2/PTEN/TP53",3
"GO:0060485","GO:0060485","mesenchyme development","3/7","301/18800",0.000135602422528144,0.00157858907095263,0.000350642419809616,"GSK3B/MDM2/PTEN",3
"GO:0030850","GO:0030850","prostate gland development","2/7","49/18800",0.000138593452736334,0.00159606008473778,0.000354523150180096,"PTEN/UBE3A",2
"GO:0050890","GO:0050890","cognition","3/7","306/18800",0.000142381455445268,0.00162223977427534,0.000360338285897319,"EP300/PTEN/UBE3A",3
"GO:1902041","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","2/7","50/18800",0.000144342558731693,0.00162727242528046,0.000361456158153603,"GSK3B/PTEN",2
"GO:1905710","GO:1905710","positive regulation of membrane permeability","2/7","51/18800",0.000150207429038251,0.00167575163020799,0.000372224550028999,"GSK3B/TP53",2
"GO:0018105","GO:0018105","peptidyl-serine phosphorylation","3/7","315/18800",0.000155136182851528,0.00171289537973182,0.000380475065919102,"GSK3B/HSP90AA1/PTEN",3
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","3/7","321/18800",0.000164041655674834,0.00179274095130354,0.000398210678652121,"MDM2/PTEN/TP53",3
"GO:0043470","GO:0043470","regulation of carbohydrate catabolic process","2/7","55/18800",0.000174823308978482,0.00187235763915955,0.000415895450833021,"EP300/TP53",2
"GO:0060998","GO:0060998","regulation of dendritic spine development","2/7","55/18800",0.000174823308978482,0.00187235763915955,0.000415895450833021,"PTEN/UBE3A",2
"GO:0010332","GO:0010332","response to gamma radiation","2/7","56/18800",0.000181266067717231,0.00192213820321935,0.000426952905722712,"MDM2/TP53",2
"GO:0010506","GO:0010506","regulation of autophagy","3/7","336/18800",0.000187753641811159,0.00195300715641805,0.000433809639147357,"EP300/GSK3B/TP53",3
"GO:0070228","GO:0070228","regulation of lymphocyte apoptotic process","2/7","57/18800",0.000187824217657385,0.00195300715641805,0.000433809639147357,"PTEN/TP53",2
"GO:0018209","GO:0018209","peptidyl-serine modification","3/7","338/18800",0.000191074870836009,0.0019677037179362,0.000437074097256457,"GSK3B/HSP90AA1/PTEN",3
"GO:0060997","GO:0060997","dendritic spine morphogenesis","2/7","58/18800",0.000194497696683822,0.00198387650617498,0.00044066646065708,"PTEN/UBE3A",2
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","3/7","342/18800",0.000197832129939353,0.00199885104872686,0.000443992665007882,"EP300/GSK3B/TP53",3
"GO:0002218","GO:0002218","activation of innate immune response","2/7","59/18800",0.000201286442701363,0.00201474560872112,0.000447523227255367,"EP300/HSP90AA1",2
"GO:0090311","GO:0090311","regulation of protein deacetylation","2/7","60/18800",0.000208190393634772,0.00206455473687816,0.000458587026914801,"EP300/TP53",2
"GO:0046902","GO:0046902","regulation of mitochondrial membrane permeability","2/7","62/18800",0.000222343662047914,0.00218467946837905,0.000485269605242189,"GSK3B/TP53",2
"GO:1901653","GO:1901653","cellular response to peptide","3/7","361/18800",0.000232065081366349,0.00225947001948509,0.000501882376926267,"GSK3B/MDM2/TP53",3
"GO:0001756","GO:0001756","somitogenesis","2/7","65/18800",0.000244436050801745,0.00235847757124927,0.000523874324145988,"EP300/TP53",2
"GO:0045862","GO:0045862","positive regulation of proteolysis","3/7","369/18800",0.000247562525528077,0.00236731665036224,0.000525837695200614,"GSK3B/MDM2/PTEN",3
"GO:0045786","GO:0045786","negative regulation of cell cycle","3/7","387/18800",0.000284866186059587,0.00269992641831697,0.000599718286441236,"MDM2/PTEN/TP53",3
"GO:0060411","GO:0060411","cardiac septum morphogenesis","2/7","71/18800",0.000291719644778361,0.00274062929436513,0.000608759369528251,"MDM2/TP53",2
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator","2/7","72/18800",0.000300001220085873,0.00279392440619105,0.00062059748960556,"MDM2/TP53",2
"GO:0010822","GO:0010822","positive regulation of mitochondrion organization","2/7","75/18800",0.000325532097344295,0.00292978887609866,0.00065077624059983,"GSK3B/TP53",2
"GO:0051865","GO:0051865","protein autoubiquitination","2/7","75/18800",0.000325532097344295,0.00292978887609866,0.00065077624059983,"MDM2/UBE3A",2
"GO:0070227","GO:0070227","lymphocyte apoptotic process","2/7","75/18800",0.000325532097344295,0.00292978887609866,0.00065077624059983,"PTEN/TP53",2
"GO:0071479","GO:0071479","cellular response to ionizing radiation","2/7","75/18800",0.000325532097344295,0.00292978887609866,0.00065077624059983,"MDM2/TP53",2
"GO:0090559","GO:0090559","regulation of membrane permeability","2/7","77/18800",0.000343123857246285,0.0030623804259231,0.000680227997698776,"GSK3B/TP53",2
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","3/7","415/18800",0.000349876411775611,0.00309683997530314,0.000687882288484455,"MDM2/PTEN/TP53",3
"GO:0016032","GO:0016032","viral process","3/7","418/18800",0.000357364265957542,0.00313718958066006,0.000696844901694602,"EP300/GSK3B/TP53",3
"GO:0021766","GO:0021766","hippocampus development","2/7","80/18800",0.000370367025154141,0.00317330467152068,0.000704866927872302,"GSK3B/PTEN",2
"GO:0021954","GO:0021954","central nervous system neuron development","2/7","80/18800",0.000370367025154141,0.00317330467152068,0.000704866927872302,"HSP90AA1/PTEN",2
"GO:0097061","GO:0097061","dendritic spine organization","2/7","80/18800",0.000370367025154141,0.00317330467152068,0.000704866927872302,"PTEN/UBE3A",2
"GO:0044773","GO:0044773","mitotic DNA damage checkpoint signaling","2/7","81/18800",0.00037967597520885,0.00322724578927522,0.000716848541329992,"MDM2/TP53",2
"GO:0007409","GO:0007409","axonogenesis","3/7","430/18800",0.00038835768110933,0.00327504784620545,0.000727466522426096,"GSK3B/HSP90AA1/PTEN",3
"GO:0032092","GO:0032092","positive regulation of protein binding","2/7","83/18800",0.000398635346590785,0.00329378789626746,0.00073162913613096,"EP300/GSK3B",2
"GO:0061053","GO:0061053","somite development","2/7","84/18800",0.000408285644702252,0.00329378789626746,0.00073162913613096,"EP300/TP53",2
"GO:0009314","GO:0009314","response to radiation","3/7","438/18800",0.000409960666283313,0.00329378789626746,0.00073162913613096,"EP300/MDM2/TP53",3
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","3/7","440/18800",0.000415480725301309,0.00329378789626746,0.00073162913613096,"MDM2/PTEN/TP53",3
"GO:0045936","GO:0045936","negative regulation of phosphate metabolic process","3/7","440/18800",0.000415480725301309,0.00329378789626746,0.00073162913613096,"GSK3B/PTEN/TP53",3
"GO:0008625","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","2/7","85/18800",0.000418049602316604,0.00329378789626746,0.00073162913613096,"GSK3B/PTEN",2
"GO:0044774","GO:0044774","mitotic DNA integrity checkpoint signaling","2/7","85/18800",0.000418049602316604,0.00329378789626746,0.00073162913613096,"MDM2/TP53",2
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process","2/7","85/18800",0.000418049602316604,0.00329378789626746,0.00073162913613096,"PTEN/TP53",2
"GO:0010563","GO:0010563","negative regulation of phosphorus metabolic process","3/7","441/18800",0.000418258780478407,0.00329378789626746,0.00073162913613096,"GSK3B/PTEN/TP53",3
"GO:0099175","GO:0099175","regulation of postsynapse organization","2/7","86/18800",0.000427927157875541,0.00334532836558179,0.000743077508105051,"PTEN/UBE3A",2
"GO:1901216","GO:1901216","positive regulation of neuron death","2/7","87/18800",0.000437918249840593,0.00339862641724112,0.000754916281189733,"GSK3B/TP53",2
"GO:0034644","GO:0034644","cellular response to UV","2/7","88/18800",0.000448022816693102,0.00345203191854901,0.000766778921413412,"EP300/TP53",2
"GO:1903578","GO:1903578","regulation of ATP metabolic process","2/7","89/18800",0.000458240796934236,0.00350554209654691,0.00077866481283562,"EP300/TP53",2
"GO:0060996","GO:0060996","dendritic spine development","2/7","91/18800",0.000479016751686084,0.00363848894365813,0.000808195489966817,"PTEN/UBE3A",2
"GO:0032436","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","2/7","92/18800",0.00048957460329817,0.00369249577557986,0.000820191700114058,"GSK3B/MDM2",2
"GO:0060079","GO:0060079","excitatory postsynaptic potential","2/7","95/18800",0.000521926918103081,0.0039089771278909,0.000868277390440164,"GSK3B/PTEN",2
"GO:0007346","GO:0007346","regulation of mitotic cell cycle","3/7","478/18800",0.000529712328118014,0.00393658588701501,0.000874409956720618,"MDM2/PTEN/TP53",3
"GO:0061564","GO:0061564","axon development","3/7","479/18800",0.000532964475833032,0.00393658588701501,0.000874409956720618,"GSK3B/HSP90AA1/PTEN",3
"GO:0016049","GO:0016049","cell growth","3/7","484/18800",0.000549419510077257,0.00403033078967631,0.00089523294360101,"GSK3B/HSP90AA1/TP53",3
"GO:0060291","GO:0060291","long-term synaptic potentiation","2/7","98/18800",0.000555296084088114,0.00404572861264197,0.000898653168663901,"GSK3B/PTEN",2
"GO:1901652","GO:1901652","response to peptide","3/7","491/18800",0.000573004702223588,0.00412776311916356,0.000916874996246465,"GSK3B/MDM2/TP53",3
"GO:0019080","GO:0019080","viral gene expression","2/7","100/18800",0.000578106294392059,0.00412776311916356,0.000916874996246465,"EP300/GSK3B",2
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","3/7","494/18800",0.000583310098632893,0.00412776311916356,0.000916874996246465,"EP300/GSK3B/TP53",3
"GO:0044089","GO:0044089","positive regulation of cellular component biogenesis","3/7","494/18800",0.000583310098632893,0.00412776311916356,0.000916874996246465,"GSK3B/HSP90AA1/TP53",3
"GO:0008630","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","2/7","101/18800",0.000589680445594795,0.00412776311916356,0.000916874996246465,"EP300/TP53",2
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","2/7","101/18800",0.000589680445594795,0.00412776311916356,0.000916874996246465,"GSK3B/PTEN",2
"GO:0043255","GO:0043255","regulation of carbohydrate biosynthetic process","2/7","102/18800",0.000601367212502641,0.0041486115114943,0.000921505923237223,"EP300/GSK3B",2
"GO:0062014","GO:0062014","negative regulation of small molecule metabolic process","2/7","102/18800",0.000601367212502641,0.0041486115114943,0.000921505923237223,"EP300/TP53",2
"GO:0060284","GO:0060284","regulation of cell development","3/7","500/18800",0.000604279547892727,0.0041486115114943,0.000921505923237223,"GSK3B/PTEN/TP53",3
"GO:0035282","GO:0035282","segmentation","2/7","103/18800",0.000613166533893741,0.0041828111961796,0.000929102491853741,"EP300/TP53",2
"GO:0003279","GO:0003279","cardiac septum development","2/7","106/18800",0.000649239213044316,0.00440085567829407,0.000977535390726285,"MDM2/TP53",2
"GO:0008637","GO:0008637","apoptotic mitochondrial changes","2/7","107/18800",0.000661488140544906,0.00445568426744399,0.000989714132824553,"GSK3B/TP53",2
"GO:0021761","GO:0021761","limbic system development","2/7","108/18800",0.000673849316715694,0.00451057886376568,0.0010019075366957,"GSK3B/PTEN",2
"GO:0071887","GO:0071887","leukocyte apoptotic process","2/7","109/18800",0.000686322680453282,0.0045655378308414,0.00101411523885218,"PTEN/TP53",2
"GO:0014066","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","2/7","111/18800",0.000711605726313891,0.00470450452396406,0.00104498306788135,"PTEN/UBE3A",2
"GO:0000077","GO:0000077","DNA damage checkpoint signaling","2/7","115/18800",0.000763515382476333,0.00498612789409849,0.00110753835968967,"MDM2/TP53",2
"GO:0030518","GO:0030518","intracellular steroid hormone receptor signaling pathway","2/7","115/18800",0.000763515382476333,0.00498612789409849,0.00110753835968967,"EP300/UBE3A",2
"GO:1901800","GO:1901800","positive regulation of proteasomal protein catabolic process","2/7","116/18800",0.00077677234994289,0.00504195870781112,0.00111993971985386,"GSK3B/MDM2",2
"GO:0006476","GO:0006476","protein deacetylation","2/7","118/18800",0.000803621322298294,0.0051848098565149,0.00115167037945095,"EP300/TP53",2
"GO:2000278","GO:2000278","regulation of DNA biosynthetic process","2/7","119/18800",0.000817213205354817,0.00524093019721562,0.00116413605048969,"HSP90AA1/TP53",2
