#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PTEN	IL10	9606.ENSP00000361021	9606.ENSP00000412237	0	0	0	0	0	0	0	0.481	0.481
PTEN	JAK2	9606.ENSP00000361021	9606.ENSP00000371067	0	0	0	0	0.066	0.111	0	0.712	0.740
PTEN	AKT1	9606.ENSP00000361021	9606.ENSP00000451828	0	0	0	0	0.062	0.852	0	0.952	0.992
PTPN22	TP53	9606.ENSP00000352833	9606.ENSP00000269305	0	0	0	0	0	0	0	0.448	0.448
PTPN22	IL23R	9606.ENSP00000352833	9606.ENSP00000321345	0	0	0	0	0.062	0	0	0.595	0.603
PTPN22	SH2B3	9606.ENSP00000352833	9606.ENSP00000345492	0	0	0	0	0.081	0	0	0.660	0.674
PTPN22	IL10	9606.ENSP00000352833	9606.ENSP00000412237	0	0	0	0	0	0	0	0.469	0.469
PTPN22	HLA-B	9606.ENSP00000352833	9606.ENSP00000399168	0	0	0	0	0.088	0	0	0.454	0.480
PTPN22	STAT4	9606.ENSP00000352833	9606.ENSP00000376134	0	0	0	0	0.066	0.062	0	0.760	0.771
PTPN22	HLA-DRB1	9606.ENSP00000352833	9606.ENSP00000353099	0	0	0	0	0.128	0	0.900	0.894	0.989
SERPINC1	IL10	9606.ENSP00000356671	9606.ENSP00000412237	0	0	0	0	0	0	0	0.404	0.404
SERPINC1	C4A	9606.ENSP00000356671	9606.ENSP00000396688	0	0	0	0	0.142	0	0	0.556	0.602
SERPINC1	PROS1	9606.ENSP00000356671	9606.ENSP00000377783	0	0	0	0	0.062	0	0	0.606	0.614
SH2B3	THPO	9606.ENSP00000345492	9606.ENSP00000204615	0	0	0	0	0	0	0	0.603	0.603
SH2B3	CALR	9606.ENSP00000345492	9606.ENSP00000320866	0	0	0	0	0	0	0	0.526	0.526
SH2B3	TET2	9606.ENSP00000345492	9606.ENSP00000442788	0	0	0	0	0	0	0	0.650	0.650
SH2B3	PTPN22	9606.ENSP00000345492	9606.ENSP00000352833	0	0	0	0	0.081	0	0	0.660	0.674
SH2B3	MPL	9606.ENSP00000345492	9606.ENSP00000361548	0	0	0	0	0.062	0	0	0.702	0.709
SH2B3	JAK2	9606.ENSP00000345492	9606.ENSP00000371067	0	0	0	0	0.062	0.182	0.900	0.884	0.989
STAT4	TP53	9606.ENSP00000376134	9606.ENSP00000269305	0	0	0	0	0	0	0	0.512	0.512
STAT4	IL23R	9606.ENSP00000376134	9606.ENSP00000321345	0	0	0	0	0.062	0	0.900	0.653	0.964
STAT4	PTPN22	9606.ENSP00000376134	9606.ENSP00000352833	0	0	0	0	0.066	0.062	0	0.760	0.771
STAT4	HLA-DRB1	9606.ENSP00000376134	9606.ENSP00000353099	0	0	0	0	0.069	0	0	0.611	0.622
STAT4	IFNGR1	9606.ENSP00000376134	9606.ENSP00000356713	0	0	0	0	0	0.057	0	0.697	0.702
STAT4	JAK2	9606.ENSP00000376134	9606.ENSP00000371067	0	0	0	0	0.058	0.140	0.900	0.819	0.983
STAT4	AKT1	9606.ENSP00000376134	9606.ENSP00000451828	0	0	0	0	0	0.140	0	0.598	0.640
STAT4	IL10	9606.ENSP00000376134	9606.ENSP00000412237	0	0	0	0	0	0.068	0.900	0.707	0.970
TET2	THPO	9606.ENSP00000442788	9606.ENSP00000204615	0	0	0	0	0	0	0	0.486	0.485
TET2	TP53	9606.ENSP00000442788	9606.ENSP00000269305	0	0	0	0	0	0	0	0.681	0.681
TET2	CALR	9606.ENSP00000442788	9606.ENSP00000320866	0	0	0	0	0	0	0	0.601	0.601
TET2	SH2B3	9606.ENSP00000442788	9606.ENSP00000345492	0	0	0	0	0	0	0	0.650	0.650
TET2	PTEN	9606.ENSP00000442788	9606.ENSP00000361021	0	0	0	0	0.065	0	0	0.424	0.438
TET2	MPL	9606.ENSP00000442788	9606.ENSP00000361548	0	0	0	0	0	0	0	0.465	0.465
TET2	JAK2	9606.ENSP00000442788	9606.ENSP00000371067	0	0	0	0	0.085	0	0	0.739	0.751
THPO	CALR	9606.ENSP00000204615	9606.ENSP00000320866	0	0	0	0	0	0	0	0.417	0.416
THPO	AKT1	9606.ENSP00000204615	9606.ENSP00000451828	0	0	0	0	0	0	0	0.455	0.455
THPO	TET2	9606.ENSP00000204615	9606.ENSP00000442788	0	0	0	0	0	0	0	0.486	0.485
THPO	IL23R	9606.ENSP00000204615	9606.ENSP00000321345	0	0	0	0	0	0	0.600	0	0.600
THPO	SH2B3	9606.ENSP00000204615	9606.ENSP00000345492	0	0	0	0	0	0	0	0.603	0.603
THPO	IFNGR1	9606.ENSP00000204615	9606.ENSP00000356713	0	0	0	0	0	0	0.600	0.095	0.622
THPO	JAK2	9606.ENSP00000204615	9606.ENSP00000371067	0	0	0	0	0	0	0.900	0.685	0.967
THPO	MPL	9606.ENSP00000204615	9606.ENSP00000361548	0	0	0	0	0	0.463	0.900	0.990	0.999
TP53	PTPN22	9606.ENSP00000269305	9606.ENSP00000352833	0	0	0	0	0	0	0	0.448	0.448
TP53	STAT4	9606.ENSP00000269305	9606.ENSP00000376134	0	0	0	0	0	0	0	0.512	0.512
TP53	IL10	9606.ENSP00000269305	9606.ENSP00000412237	0	0	0	0	0	0	0	0.580	0.580
TP53	CALR	9606.ENSP00000269305	9606.ENSP00000320866	0	0	0	0	0.060	0	0	0.618	0.626
TP53	TET2	9606.ENSP00000269305	9606.ENSP00000442788	0	0	0	0	0	0	0	0.681	0.681
TP53	JAK2	9606.ENSP00000269305	9606.ENSP00000371067	0	0	0	0	0.049	0.056	0	0.685	0.692
TP53	FAS	9606.ENSP00000269305	9606.ENSP00000347979	0	0	0	0	0.063	0	0.900	0.682	0.967
TP53	AKT1	9606.ENSP00000269305	9606.ENSP00000451828	0	0	0	0	0.053	0.201	0.900	0.877	0.989
TP53	PTEN	9606.ENSP00000269305	9606.ENSP00000361021	0	0	0	0	0	0.851	0.900	0.986	0.999
